date,PRCP,station,SNOW,SNWD,TMAX,TMIN,WT08,WT16,WT03,WT01,WT18,TSUN,WT02,WT05,PGTM,AWND,FMTM,WDF2,WDF5,WSF2,WSF5,WT13,TAVG,WT07
1960-10-01T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,79.0,51.0,1.0,,,,,,,,,,,,,,,,,
1960-10-02T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,86.0,57.0,,1.0,,,,,,,,,,,,,,,,
1960-10-03T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,85.0,61.0,1.0,,,,,,,,,,,,,,,,,
1960-10-04T00:00:00,0.04,GHCND:USW00013897,0.0,0.0,79.0,58.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1960-10-05T00:00:00,0.23,GHCND:USW00013897,0.0,0.0,72.0,60.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-06T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,74.0,62.0,,,,1.0,,,,,,,,,,,,,,
1960-10-07T00:00:00,0.1,GHCND:USW00013897,0.0,0.0,70.0,62.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-08T00:00:00,0.09,GHCND:USW00013897,0.0,0.0,80.0,64.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-09T00:00:00,0.06,GHCND:USW00013897,0.0,0.0,75.0,62.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-10T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,78.0,58.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-11T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,79.0,54.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-12T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,81.0,51.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-13T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,79.0,53.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-14T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,81.0,54.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-15T00:00:00,0.01,GHCND:USW00013897,0.0,0.0,75.0,61.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-16T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,76.0,55.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-17T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,74.0,49.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-18T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,75.0,43.0,1.0,,,,,,,,,,,,,,,,,
1960-10-19T00:00:00,0.36,GHCND:USW00013897,0.0,0.0,67.0,50.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-20T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,52.0,37.0,1.0,,,,,,,,,,,,,,,,,
1960-10-21T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,59.0,33.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-22T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,66.0,33.0,1.0,,,,,,,,,,,,,,,,,
1960-10-23T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,75.0,49.0,,1.0,,,,,,,,,,,,,,,,
1960-10-24T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,67.0,41.0,1.0,,,,,,,,,,,,,,,,,
1960-10-25T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,71.0,35.0,,,,,,,,,,,,,,,,,,
1960-10-26T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,63.0,50.0,,1.0,,,,,,,,,,,,,,,,
1960-10-27T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,68.0,44.0,,1.0,,,,,,,,,,,,,,,,
1960-10-28T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,64.0,39.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-10-29T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,68.0,38.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-30T00:00:00,0.04,GHCND:USW00013897,0.0,0.0,72.0,55.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-10-31T00:00:00,0.45,GHCND:USW00013897,0.0,0.0,63.0,46.0,,1.0,,,,,,,,,,,,,,,,
1960-11-01T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,64.0,42.0,,,,,,,,,,,,,,,,,,
1960-11-02T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,66.0,43.0,,1.0,,,,,,,,,,,,,,,,
1960-11-03T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,35.0,,,,,,,,,,,,,,,,,,
1960-11-04T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,67.0,30.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-11-05T00:00:00,0.15,GHCND:USW00013897,0.0,0.0,56.0,34.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-11-06T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,59.0,30.0,,1.0,,,,,,,,,,,,,,,,
1960-11-07T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,51.0,28.0,,,,,,,,,,,,,,,,,,
1960-11-08T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,30.0,,1.0,,,,,,,,,,,,,,,,
1960-11-09T00:00:00,1.1,GHCND:USW00013897,0.0,0.0,55.0,36.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-11-10T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,38.0,26.0,,,,,,,,,,,,,,,,,,
1960-11-11T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,51.0,20.0,1.0,,,,,,,,,,,,,,,,,
1960-11-12T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,58.0,21.0,1.0,,,,,,,,,,,,,,,,,
1960-11-13T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,65.0,33.0,1.0,,,,,,,,,,,,,,,,,
1960-11-14T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,74.0,48.0,,,,,,,,,,,,,,,,,,
1960-11-15T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,76.0,57.0,,,,,,,,,,,,,,,,,,
1960-11-16T00:00:00,0.33,GHCND:USW00013897,0.0,0.0,68.0,47.0,,1.0,,,,,,,,,,,,,,,,
1960-11-17T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,62.0,36.0,,,,,,,,,,,,,,,,,,
1960-11-18T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,67.0,35.0,,,,,,,,,,,,,,,,,,
1960-11-19T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,55.0,30.0,1.0,,,,,,,,,,,,,,,,,
1960-11-20T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,64.0,27.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-11-21T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,67.0,33.0,,,,,,,,,,,,,,,,,,
1960-11-22T00:00:00,0.25,GHCND:USW00013897,0.0,0.0,65.0,38.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-11-23T00:00:00,0.03,GHCND:USW00013897,0.0,0.0,53.0,43.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1960-11-24T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,37.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-11-25T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,59.0,31.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-11-26T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,67.0,34.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-11-27T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,70.0,48.0,,,,,,,,,,,,,,,,,,
1960-11-28T00:00:00,0.86,GHCND:USW00013897,0.0,0.0,71.0,52.0,,1.0,1.0,,,,,,,,,,,,,,,
1960-11-29T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,53.0,29.0,,,,,,,,,,,,,,,,,,
1960-11-30T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,42.0,24.0,,,,,,,,,,,,,,,,,,
1960-12-01T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,37.0,21.0,,,,,,,,,,,,,,,,,,
1960-12-02T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,51.0,17.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-12-03T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,56.0,20.0,,,,,,,,,,,,,,,,,,
1960-12-04T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,62.0,29.0,,,,,,,,,,,,,,,,,,
1960-12-05T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,65.0,44.0,,,,,,,,,,,,,,,,,,
1960-12-06T00:00:00,0.21,GHCND:USW00013897,0.0,0.0,59.0,47.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-12-07T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,47.0,32.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-12-08T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,42.0,30.0,1.0,,,,,,,,,,,,,,,,,
1960-12-09T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,42.0,24.0,,,,,,,,,,,,,,,,,,
1960-12-10T00:00:00,0.08,GHCND:USW00013897,0.0,0.0,57.0,22.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1960-12-11T00:00:00,0.53,GHCND:USW00013897,0.0,0.0,57.0,33.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-12-12T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,34.0,21.0,,,,,1.0,,,,,,,,,,,,,
1960-12-13T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,32.0,15.0,,,,,,,,,,,,,,,,,,
1960-12-14T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,36.0,17.0,,,,,,,,,,,,,,,,,,
1960-12-15T00:00:00,0.04,GHCND:USW00013897,0.2,0.0,40.0,31.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
1960-12-16T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,39.0,24.0,,,,,,,,,,,,,,,,,,
1960-12-17T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,41.0,23.0,1.0,,,,,,,,,,,,,,,,,
1960-12-18T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,46.0,15.0,,,,,,,,,,,,,,,,,,
1960-12-19T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,44.0,24.0,1.0,,,,,,,,,,,,,,,,,
1960-12-20T00:00:00,0.78,GHCND:USW00013897,0.0,0.0,51.0,26.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
1960-12-21T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,27.0,8.0,,,,,1.0,,,,,,,,,,,,,
1960-12-22T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,26.0,5.0,1.0,,,,,,,,,,,,,,,,,
1960-12-23T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,37.0,9.0,,,,,1.0,,,,,,,,,,,,,
1960-12-24T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,46.0,25.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
1960-12-25T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,20.0,1.0,,,1.0,,,,,,,,,,,,,,
1960-12-26T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,60.0,35.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-12-27T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,38.0,32.0,,,,,,,,,,,,,,,,,,
1960-12-28T00:00:00,0.24,GHCND:USW00013897,0.0,0.0,39.0,28.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-12-29T00:00:00,0.66,GHCND:USW00013897,0.0,0.0,42.0,32.0,,1.0,,1.0,,,,,,,,,,,,,,
1960-12-30T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,46.0,25.0,1.0,,,1.0,,,,,,,,,,,,,,
1961-10-01T00:00:00,0.4,GHCND:USW00013897,0.0,0.0,73.0,53.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-10-02T00:00:00,0.24,GHCND:USW00013897,0.0,0.0,63.0,49.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-10-03T00:00:00,0.22,GHCND:USW00013897,0.0,0.0,65.0,44.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-10-04T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,70.0,39.0,1.0,,,1.0,,,,,,,,,,,,,,
1961-10-05T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,75.0,39.0,,,,,,,,,,,,,,,,,,
