date,PGTM,station,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT01,WT16,WT18,WT03,TSUN,WT02,WT05,AWND,FMTM,WDF2,WSF2,WT13,TAVG,WDF5,WSF5,WT07
1960-10-01T00:00:00,136.0,GHCND:USW00013743,0.0,0.0,0.0,67.0,50.0,,,,,,,,,,,,,,,,,
1960-10-02T00:00:00,1624.0,GHCND:USW00013743,0.0,0.0,0.0,72.0,46.0,1.0,,,,,,,,,,,,,,,,
1960-10-03T00:00:00,1006.0,GHCND:USW00013743,0.0,0.0,0.0,74.0,58.0,1.0,1.0,,,,,,,,,,,,,,,
1960-10-04T00:00:00,942.0,GHCND:USW00013743,0.0,0.0,0.0,65.0,54.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-05T00:00:00,1700.0,GHCND:USW00013743,0.0,0.0,0.0,71.0,49.0,1.0,,,,,,,,,,,,,,,,
1960-10-06T00:00:00,1554.0,GHCND:USW00013743,0.15,0.0,0.0,72.0,61.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-08T00:00:00,848.0,GHCND:USW00013743,0.01,0.0,0.0,63.0,49.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-09T00:00:00,1854.0,GHCND:USW00013743,0.22,0.0,0.0,60.0,55.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-10T00:00:00,1642.0,GHCND:USW00013743,0.0,0.0,0.0,76.0,49.0,,1.0,,,,,,,,,,,,,,,
1960-10-11T00:00:00,1118.0,GHCND:USW00013743,0.0,0.0,0.0,82.0,53.0,,,,,,,,,,,,,,,,,
1960-10-12T00:00:00,1136.0,GHCND:USW00013743,0.0,0.0,0.0,77.0,57.0,1.0,,,,,,,,,,,,,,,,
1960-10-13T00:00:00,836.0,GHCND:USW00013743,0.0,0.0,0.0,76.0,54.0,1.0,1.0,,,,,,,,,,,,,,,
1960-10-14T00:00:00,2136.0,GHCND:USW00013743,0.0,0.0,0.0,80.0,59.0,1.0,1.0,,,,,,,,,,,,,,,
1960-10-15T00:00:00,1736.0,GHCND:USW00013743,0.0,0.0,0.0,81.0,60.0,1.0,1.0,,,,,,,,,,,,,,,
1960-10-16T00:00:00,1400.0,GHCND:USW00013743,0.0,0.0,0.0,79.0,63.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-17T00:00:00,1106.0,GHCND:USW00013743,0.0,0.0,0.0,73.0,57.0,1.0,,,,,,,,,,,,,,,,
1960-10-18T00:00:00,854.0,GHCND:USW00013743,0.0,0.0,0.0,75.0,52.0,,,,,,,,,,,,,,,,,
1960-10-19T00:00:00,2036.0,GHCND:USW00013743,0.1,0.0,0.0,71.0,55.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-20T00:00:00,1242.0,GHCND:USW00013743,1.44,0.0,0.0,68.0,44.0,,1.0,1.0,,,,,,,,,,,,,,
1960-10-21T00:00:00,330.0,GHCND:USW00013743,0.0,0.0,0.0,56.0,39.0,,,,,,,,,,,,,,,,,
1960-10-22T00:00:00,1618.0,GHCND:USW00013743,0.0,0.0,0.0,58.0,38.0,1.0,1.0,,,,,,,,,,,,,,,
1960-10-23T00:00:00,736.0,GHCND:USW00013743,0.04,0.0,0.0,57.0,46.0,,,1.0,,,,,,,,,,,,,,
1960-10-24T00:00:00,918.0,GHCND:USW00013743,0.0,0.0,0.0,56.0,43.0,,,,,,,,,,,,,,,,,
1960-10-25T00:00:00,854.0,GHCND:USW00013743,0.0,0.0,0.0,55.0,40.0,,,,,,,,,,,,,,,,,
1960-10-26T00:00:00,1312.0,GHCND:USW00013743,0.0,0.0,0.0,56.0,34.0,1.0,,,,,,,,,,,,,,,,
1960-10-27T00:00:00,1718.0,GHCND:USW00013743,0.01,0.0,0.0,57.0,48.0,1.0,,1.0,,,,,,,,,,,,,,
1960-10-28T00:00:00,1500.0,GHCND:USW00013743,0.27,0.0,0.0,55.0,50.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-29T00:00:00,342.0,GHCND:USW00013743,0.01,0.0,0.0,60.0,47.0,,,1.0,,,,,,,,,,,,,,
1960-10-30T00:00:00,2030.0,GHCND:USW00013743,0.0,0.0,0.0,63.0,44.0,,,,,,,,,,,,,,,,,
1960-10-31T00:00:00,648.0,GHCND:USW00013743,0.29,0.0,0.0,56.0,52.0,,1.0,1.0,,,,,,,,,,,,,,
1960-11-01T00:00:00,1200.0,GHCND:USW00013743,0.1,0.0,0.0,64.0,49.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-11-02T00:00:00,2230.0,GHCND:USW00013743,0.0,0.0,0.0,68.0,44.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-11-03T00:00:00,1354.0,GHCND:USW00013743,0.0,0.0,0.0,56.0,45.0,,,1.0,,,,,,,,,,,,,,
1960-11-04T00:00:00,1236.0,GHCND:USW00013743,0.0,0.0,0.0,65.0,41.0,,,,,,,,,,,,,,,,,
1960-11-05T00:00:00,2200.0,GHCND:USW00013743,0.08,0.0,0.0,52.0,43.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-11-06T00:00:00,1224.0,GHCND:USW00013743,0.0,0.0,0.0,50.0,39.0,,,,,,,,,,,,,,,,,
1960-11-07T00:00:00,1242.0,GHCND:USW00013743,0.07,0.0,0.0,44.0,31.0,,,1.0,1.0,,,,,,,,,,,,,
1960-11-08T00:00:00,1606.0,GHCND:USW00013743,0.0,0.0,0.0,49.0,28.0,1.0,,,,,,,,,,,,,,,,
1960-11-09T00:00:00,6.0,GHCND:USW00013743,0.03,0.0,0.0,59.0,34.0,,,1.0,,,,,,,,,,,,,,
1960-11-10T00:00:00,1500.0,GHCND:USW00013743,0.35,0.0,0.0,56.0,39.0,,1.0,1.0,,,,,,,,,,,,,,
