date,PGTM,station,PRCP,SNOW,SNWD,TMAX,TMIN,WT03,WT16,WT01,WT08,WT02,TSUN,AWND,FMTM,WDF2,WDF5,WSF2,WSF5,WT13,TAVG,WT07,WT05
1960-10-01T00:00:00,1148.0,GHCND:USW00012839,0.11,0.0,0.0,87.0,74.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-02T00:00:00,1454.0,GHCND:USW00012839,0.0,0.0,0.0,88.0,74.0,,,,,,,,,,,,,,,,
1960-10-03T00:00:00,1306.0,GHCND:USW00012839,0.01,0.0,0.0,88.0,73.0,,1.0,,,,,,,,,,,,,,
1960-10-04T00:00:00,1348.0,GHCND:USW00012839,0.02,0.0,0.0,87.0,77.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-05T00:00:00,1024.0,GHCND:USW00012839,0.11,0.0,0.0,85.0,74.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-06T00:00:00,1324.0,GHCND:USW00012839,0.43,0.0,0.0,88.0,75.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-07T00:00:00,1242.0,GHCND:USW00012839,0.32,0.0,0.0,88.0,75.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-08T00:00:00,1400.0,GHCND:USW00012839,0.0,0.0,0.0,88.0,74.0,,1.0,,,,,,,,,,,,,,
1960-10-09T00:00:00,2224.0,GHCND:USW00012839,0.27,0.0,0.0,89.0,75.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-10T00:00:00,1600.0,GHCND:USW00012839,0.28,0.0,0.0,88.0,74.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-11T00:00:00,1112.0,GHCND:USW00012839,0.0,0.0,0.0,85.0,74.0,1.0,1.0,1.0,,,,,,,,,,,,,
1960-10-12T00:00:00,1236.0,GHCND:USW00012839,2.34,0.0,0.0,89.0,72.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-13T00:00:00,1400.0,GHCND:USW00012839,0.0,0.0,0.0,87.0,73.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-14T00:00:00,1106.0,GHCND:USW00012839,1.66,0.0,0.0,84.0,71.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-15T00:00:00,1230.0,GHCND:USW00012839,0.0,0.0,0.0,84.0,71.0,,1.0,1.0,1.0,,,,,,,,,,,,
1960-10-16T00:00:00,1842.0,GHCND:USW00012839,0.04,0.0,0.0,87.0,73.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-17T00:00:00,918.0,GHCND:USW00012839,0.0,0.0,0.0,85.0,72.0,,,,,,,,,,,,,,,,
1960-10-18T00:00:00,1530.0,GHCND:USW00012839,0.0,0.0,0.0,86.0,71.0,,,,1.0,,,,,,,,,,,,
1960-10-19T00:00:00,1336.0,GHCND:USW00012839,0.0,0.0,0.0,87.0,74.0,,,,,,,,,,,,,,,,
1960-10-20T00:00:00,1454.0,GHCND:USW00012839,1.59,0.0,0.0,89.0,76.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-21T00:00:00,2006.0,GHCND:USW00012839,0.0,0.0,0.0,87.0,73.0,,,,,,,,,,,,,,,,
1960-10-22T00:00:00,854.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,71.0,,,,,,,,,,,,,,,,
1960-10-23T00:00:00,1130.0,GHCND:USW00012839,0.1,0.0,0.0,83.0,71.0,,1.0,,,,,,,,,,,,,,
1960-10-24T00:00:00,1436.0,GHCND:USW00012839,0.0,0.0,0.0,82.0,70.0,,,,,,,,,,,,,,,,
1960-10-25T00:00:00,1624.0,GHCND:USW00012839,0.07,0.0,0.0,85.0,73.0,,1.0,,,,,,,,,,,,,,
1960-10-26T00:00:00,42.0,GHCND:USW00012839,1.32,0.0,0.0,83.0,73.0,,1.0,,,,,,,,,,,,,,
1960-10-27T00:00:00,1412.0,GHCND:USW00012839,0.0,0.0,0.0,86.0,72.0,,1.0,,,,,,,,,,,,,,
1960-10-28T00:00:00,1518.0,GHCND:USW00012839,0.0,0.0,0.0,86.0,74.0,,,,,,,,,,,,,,,,
1960-10-29T00:00:00,1348.0,GHCND:USW00012839,0.0,0.0,0.0,87.0,71.0,,,1.0,1.0,,,,,,,,,,,,
1960-10-30T00:00:00,1054.0,GHCND:USW00012839,0.0,0.0,0.0,85.0,69.0,,,,,,,,,,,,,,,,
1960-10-31T00:00:00,2130.0,GHCND:USW00012839,1.87,0.0,0.0,85.0,72.0,1.0,1.0,,,,,,,,,,,,,,
1960-11-01T00:00:00,1436.0,GHCND:USW00012839,1.55,0.0,0.0,85.0,72.0,1.0,1.0,,,,,,,,,,,,,,
1960-11-02T00:00:00,618.0,GHCND:USW00012839,0.0,0.0,0.0,80.0,68.0,,1.0,1.0,,,,,,,,,,,,,
1960-11-03T00:00:00,1254.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,65.0,,,,,,,,,,,,,,,,
1960-11-04T00:00:00,1418.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,66.0,,1.0,,,,,,,,,,,,,,
1960-11-05T00:00:00,1042.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,66.0,,1.0,,,,,,,,,,,,,,
1960-11-06T00:00:00,1318.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,67.0,,,,,,,,,,,,,,,,
1960-11-07T00:00:00,1136.0,GHCND:USW00012839,0.0,0.0,0.0,75.0,58.0,,,,,,,,,,,,,,,,
1960-11-08T00:00:00,1348.0,GHCND:USW00012839,0.0,0.0,0.0,78.0,57.0,,,,,,,,,,,,,,,,
1960-11-09T00:00:00,1154.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,70.0,,1.0,,,,,,,,,,,,,,
1960-11-10T00:00:00,1012.0,GHCND:USW00012839,0.0,0.0,0.0,84.0,73.0,,,,,,,,,,,,,,,,
1960-11-11T00:00:00,954.0,GHCND:USW00012839,0.0,0.0,0.0,83.0,73.0,,1.0,,,,,,,,,,,,,,
1960-11-12T00:00:00,1548.0,GHCND:USW00012839,0.0,0.0,0.0,82.0,69.0,,1.0,,,,,,,,,,,,,,
1960-11-13T00:00:00,1400.0,GHCND:USW00012839,0.05,0.0,0.0,81.0,68.0,,1.0,,,,,,,,,,,,,,
1960-11-14T00:00:00,1100.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,65.0,,1.0,,,,,,,,,,,,,,
1960-11-15T00:00:00,1136.0,GHCND:USW00012839,0.26,0.0,0.0,80.0,66.0,,1.0,,,,,,,,,,,,,,
1960-11-16T00:00:00,1200.0,GHCND:USW00012839,0.04,0.0,0.0,83.0,71.0,,1.0,,,,,,,,,,,,,,
1960-11-17T00:00:00,1318.0,GHCND:USW00012839,0.0,0.0,0.0,83.0,70.0,,1.0,,,,,,,,,,,,,,
1960-11-18T00:00:00,1336.0,GHCND:USW00012839,0.0,0.0,0.0,83.0,68.0,,,,,,,,,,,,,,,,
1960-11-19T00:00:00,1230.0,GHCND:USW00012839,0.0,0.0,0.0,84.0,68.0,,,,,,,,,,,,,,,,
1960-11-20T00:00:00,900.0,GHCND:USW00012839,0.0,0.0,0.0,80.0,67.0,,,,,,,,,,,,,,,,
1960-11-21T00:00:00,1442.0,GHCND:USW00012839,0.0,0.0,0.0,80.0,64.0,,,,,,,,,,,,,,,,
1960-11-22T00:00:00,1030.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,72.0,,1.0,,,,,,,,,,,,,,
1960-11-23T00:00:00,1100.0,GHCND:USW00012839,0.0,0.0,0.0,82.0,69.0,,1.0,,,,,,,,,,,,,,
1960-11-24T00:00:00,1554.0,GHCND:USW00012839,0.0,0.0,0.0,83.0,67.0,,1.0,,,,,,,,,,,,,,
1960-11-25T00:00:00,1436.0,GHCND:USW00012839,0.01,0.0,0.0,83.0,68.0,,1.0,1.0,,,,,,,,,,,,,
1960-11-26T00:00:00,1312.0,GHCND:USW00012839,0.24,0.0,0.0,80.0,69.0,,1.0,,,,,,,,,,,,,,
1960-11-27T00:00:00,1018.0,GHCND:USW00012839,0.05,0.0,0.0,81.0,73.0,,1.0,,,,,,,,,,,,,,
1960-11-28T00:00:00,1036.0,GHCND:USW00012839,0.16,0.0,0.0,82.0,73.0,,1.0,,,,,,,,,,,,,,
1960-11-29T00:00:00,106.0,GHCND:USW00012839,0.0,0.0,0.0,83.0,71.0,,,,,,,,,,,,,,,,
1960-11-30T00:00:00,1706.0,GHCND:USW00012839,0.0,0.0,0.0,83.0,62.0,,,1.0,1.0,,,,,,,,,,,,
1960-12-01T00:00:00,1548.0,GHCND:USW00012839,0.0,0.0,0.0,77.0,56.0,,,,,,,,,,,,,,,,
1960-12-02T00:00:00,1536.0,GHCND:USW00012839,0.0,0.0,0.0,71.0,55.0,,1.0,,,,,,,,,,,,,,
1960-12-03T00:00:00,1348.0,GHCND:USW00012839,0.0,0.0,0.0,75.0,55.0,,1.0,,,,,,,,,,,,,,
1960-12-04T00:00:00,1530.0,GHCND:USW00012839,0.0,0.0,0.0,74.0,59.0,,,,,,,,,,,,,,,,
1960-12-05T00:00:00,1154.0,GHCND:USW00012839,0.0,0.0,0.0,75.0,68.0,,,,,,,,,,,,,,,,
1960-12-06T00:00:00,1112.0,GHCND:USW00012839,0.0,0.0,0.0,77.0,62.0,,,,,,,,,,,,,,,,
1960-12-07T00:00:00,1406.0,GHCND:USW00012839,0.0,0.0,0.0,77.0,64.0,,1.0,,,,,,,,,,,,,,
1960-12-08T00:00:00,1412.0,GHCND:USW00012839,0.0,0.0,0.0,80.0,64.0,,,,,,,,,,,,,,,,
1960-12-09T00:00:00,1406.0,GHCND:USW00012839,0.0,0.0,0.0,80.0,62.0,,,,1.0,,,,,,,,,,,,
1960-12-10T00:00:00,1400.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,68.0,,,,,,,,,,,,,,,,
1960-12-11T00:00:00,1230.0,GHCND:USW00012839,0.0,0.0,0.0,81.0,71.0,,,,,,,,,,,,,,,,
1960-12-12T00:00:00,1442.0,GHCND:USW00012839,0.26,0.0,0.0,74.0,53.0,,1.0,,,,,,,,,,,,,,
1960-12-13T00:00:00,806.0,GHCND:USW00012839,0.0,0.0,0.0,64.0,45.0,,,,,,,,,,,,,,,,
1960-12-14T00:00:00,1200.0,GHCND:USW00012839,0.0,0.0,0.0,70.0,46.0,,,,,,,,,,,,,,,,
1960-12-15T00:00:00,2036.0,GHCND:USW00012839,0.17,0.0,0.0,77.0,62.0,,1.0,,,,,,,,,,,,,,
1960-12-16T00:00:00,154.0,GHCND:USW00012839,0.0,0.0,0.0,67.0,52.0,,,,,,,,,,,,,,,,
1960-12-17T00:00:00,1318.0,GHCND:USW00012839,0.0,0.0,0.0,69.0,45.0,,,,,,,,,,,,,,,,
1960-12-18T00:00:00,2248.0,GHCND:USW00012839,0.0,0.0,0.0,71.0,52.0,,,,,,,,,,,,,,,,
1960-12-19T00:00:00,948.0,GHCND:USW00012839,0.0,0.0,0.0,71.0,53.0,,,,,,,,,,,,,,,,
1960-12-20T00:00:00,1330.0,GHCND:USW00012839,0.0,0.0,0.0,74.0,54.0,,,,,,,,,,,,,,,,
1960-12-21T00:00:00,1354.0,GHCND:USW00012839,0.02,0.0,0.0,79.0,51.0,,1.0,,,,,,,,,,,,,,
1960-12-22T00:00:00,2112.0,GHCND:USW00012839,0.0,0.0,0.0,59.0,39.0,,,,,,,,,,,,,,,,
1960-12-23T00:00:00,1318.0,GHCND:USW00012839,0.0,0.0,0.0,69.0,48.0,,,,,,,,,,,,,,,,
1960-12-24T00:00:00,1330.0,GHCND:USW00012839,0.0,0.0,0.0,73.0,57.0,,,,,,,,,,,,,,,,
1960-12-25T00:00:00,1136.0,GHCND:USW00012839,0.0,0.0,0.0,74.0,58.0,,1.0,,,,,,,,,,,,,,
1960-12-26T00:00:00,1118.0,GHCND:USW00012839,0.0,0.0,0.0,74.0,54.0,,,,,,,,,,,,,,,,
1960-12-27T00:00:00,1400.0,GHCND:USW00012839,0.01,0.0,0.0,74.0,58.0,,1.0,,1.0,,,,,,,,,,,,
1960-12-28T00:00:00,1112.0,GHCND:USW00012839,0.04,0.0,0.0,77.0,66.0,,1.0,,,,,,,,,,,,,,
1960-12-29T00:00:00,1000.0,GHCND:USW00012839,0.0,0.0,0.0,78.0,59.0,,,,,,,,,,,,,,,,
1960-12-30T00:00:00,1330.0,GHCND:USW00012839,0.0,0.0,0.0,80.0,61.0,,,,,,,,,,,,,,,,
1961-10-01T00:00:00,1706.0,GHCND:USW00012839,0.0,0.0,0.0,88.0,73.0,1.0,1.0,,,,,,,,,,,,,,
1961-10-02T00:00:00,1406.0,GHCND:USW00012839,0.05,0.0,0.0,91.0,74.0,1.0,1.0,,,,,,,,,,,,,,
1961-10-03T00:00:00,1624.0,GHCND:USW00012839,0.01,0.0,0.0,88.0,72.0,,1.0,1.0,,,,,,,,,,,,,
1961-10-04T00:00:00,1554.0,GHCND:USW00012839,0.0,0.0,0.0,90.0,71.0,,,,1.0,,,,,,,,,,,,
1961-10-05T00:00:00,1442.0,GHCND:USW00012839,0.0,0.0,0.0,88.0,76.0,,1.0,,,,,,,,,,,,,,
