date,TMAX,station,TMIN,AWND,FMTM,PGTM,PRCP,TAVG,WDF2,WDF5,WSF2,WSF5,SNWD,TSUN,WT01,WT05,WT13,WT16,WT18,WT08,WT07,WT02,WT03
1997-10-01T00:00:00,66.0,GHCND:USW00094960,38.0,,,,,,,,,,,,,,,,,,,,
1997-10-02T00:00:00,81.0,GHCND:USW00094960,53.0,,,,,,,,,,,,,,,,,,,,
1997-10-03T00:00:00,89.0,GHCND:USW00094960,58.0,,,,,,,,,,,,,,,,,,,,
1997-10-04T00:00:00,75.0,GHCND:USW00094960,52.0,,,,,,,,,,,,,,,,,,,,
1997-10-05T00:00:00,77.0,GHCND:USW00094960,48.0,,,,,,,,,,,,,,,,,,,,
1997-10-06T00:00:00,61.0,GHCND:USW00094960,45.0,,,,,,,,,,,,,,,,,,,,
1997-10-07T00:00:00,84.0,GHCND:USW00094960,54.0,,,,,,,,,,,,,,,,,,,,
1997-10-08T00:00:00,75.0,GHCND:USW00094960,69.0,,,,,,,,,,,,,,,,,,,,
1997-10-09T00:00:00,70.0,GHCND:USW00094960,39.0,,,,,,,,,,,,,,,,,,,,
1997-10-10T00:00:00,69.0,GHCND:USW00094960,35.0,,,,,,,,,,,,,,,,,,,,
1997-10-11T00:00:00,79.0,GHCND:USW00094960,63.0,,,,,,,,,,,,,,,,,,,,
1997-10-12T00:00:00,72.0,GHCND:USW00094960,63.0,,,,,,,,,,,,,,,,,,,,
1997-10-13T00:00:00,63.0,GHCND:USW00094960,32.0,,,,,,,,,,,,,,,,,,,,
1997-10-14T00:00:00,48.0,GHCND:USW00094960,33.0,,,,,,,,,,,,,,,,,,,,
1997-10-15T00:00:00,62.0,GHCND:USW00094960,34.0,,,,,,,,,,,,,,,,,,,,
1997-10-16T00:00:00,61.0,GHCND:USW00094960,35.0,,,,,,,,,,,,,,,,,,,,
1997-10-17T00:00:00,63.0,GHCND:USW00094960,39.0,,,,,,,,,,,,,,,,,,,,
1997-10-18T00:00:00,67.0,GHCND:USW00094960,47.0,,,,,,,,,,,,,,,,,,,,
1997-10-19T00:00:00,56.0,GHCND:USW00094960,37.0,,,,,,,,,,,,,,,,,,,,
1997-10-20T00:00:00,50.0,GHCND:USW00094960,31.0,,,,,,,,,,,,,,,,,,,,
1997-10-21T00:00:00,41.0,GHCND:USW00094960,32.0,,,,,,,,,,,,,,,,,,,,
1997-10-22T00:00:00,44.0,GHCND:USW00094960,25.0,,,,,,,,,,,,,,,,,,,,
1997-10-23T00:00:00,46.0,GHCND:USW00094960,38.0,,,,,,,,,,,,,,,,,,,,
1997-10-24T00:00:00,42.0,GHCND:USW00094960,34.0,,,,,,,,,,,,,,,,,,,,
1997-10-25T00:00:00,38.0,GHCND:USW00094960,24.0,,,,,,,,,,,,,,,,,,,,
1997-10-26T00:00:00,38.0,GHCND:USW00094960,19.0,,,,,,,,,,,,,,,,,,,,
1997-10-27T00:00:00,41.0,GHCND:USW00094960,14.0,,,,,,,,,,,,,,,,,,,,
1997-10-28T00:00:00,51.0,GHCND:USW00094960,30.0,,,,,,,,,,,,,,,,,,,,
1997-10-29T00:00:00,52.0,GHCND:USW00094960,33.0,,,,,,,,,,,,,,,,,,,,
