date,PRCP,station,SNOW,SNWD,TMAX,TMIN,WT16,WT03,TSUN,PGTM,WT08,AWND,FMTM,WT01,WDF2,WSF2,WT13,TAVG,WDF5,WSF5,WT05,WT07
1960-10-01T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,85.0,77.0,,,,,,,,,,,,,,,,
1960-10-02T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,90.0,73.0,,,,,,,,,,,,,,,,
1960-10-03T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,86.0,74.0,1.0,,,,,,,,,,,,,,,
1960-10-04T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,85.0,73.0,1.0,,,,,,,,,,,,,,,
1960-10-05T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,86.0,75.0,1.0,,,,,,,,,,,,,,,
1960-10-06T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,84.0,72.0,1.0,,,,,,,,,,,,,,,
1960-10-07T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,87.0,74.0,1.0,,,,,,,,,,,,,,,
1960-10-08T00:00:00,0.32,GHCND:USW00022521,0.0,0.0,85.0,71.0,1.0,,,,,,,,,,,,,,,
1960-10-09T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,88.0,72.0,,,,,,,,,,,,,,,,
1960-10-10T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,85.0,72.0,1.0,,,,,,,,,,,,,,,
1960-10-11T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,86.0,75.0,1.0,,,,,,,,,,,,,,,
1960-10-12T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,83.0,75.0,1.0,,,,,,,,,,,,,,,
1960-10-13T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,84.0,72.0,1.0,,,,,,,,,,,,,,,
1960-10-14T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,86.0,72.0,1.0,,,,,,,,,,,,,,,
1960-10-15T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,89.0,68.0,,,,,,,,,,,,,,,,
1960-10-16T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,90.0,69.0,,,,,,,,,,,,,,,,
1960-10-17T00:00:00,0.06,GHCND:USW00022521,0.0,0.0,88.0,74.0,1.0,,,,,,,,,,,,,,,
1960-10-18T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,90.0,73.0,,,,,,,,,,,,,,,,
1960-10-19T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,89.0,74.0,1.0,,,,,,,,,,,,,,,
1960-10-20T00:00:00,0.69,GHCND:USW00022521,0.0,0.0,84.0,71.0,1.0,,,,,,,,,,,,,,,
1960-10-21T00:00:00,0.03,GHCND:USW00022521,0.0,0.0,84.0,69.0,1.0,,,,,,,,,,,,,,,
1960-10-22T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,86.0,70.0,,,,,,,,,,,,,,,,
1960-10-23T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,84.0,73.0,,,,,,,,,,,,,,,,
1960-10-24T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,86.0,71.0,,,,,,,,,,,,,,,,
1960-10-25T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,83.0,74.0,1.0,,,,,,,,,,,,,,,
1960-10-26T00:00:00,0.01,GHCND:USW00022521,0.0,0.0,85.0,72.0,1.0,,,,,,,,,,,,,,,
1960-10-27T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,87.0,74.0,1.0,,,,,,,,,,,,,,,
1960-10-28T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,89.0,74.0,,,,,,,,,,,,,,,,
1960-10-29T00:00:00,0.0,GHCND:USW00022521,0.0,0.0,85.0,69.0,1.0,,,,,,,,,,,,,,,
1960-10-30T00:00:00,0.05,GHCND:USW00022521,0.0,0.0,85.0,71.0,1.0,,,,,,,,,,,,,,,
